X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3926697,43.714984899999983,51087,GO-20142283532,2014-06-13T13:00:00.000Z,2014-06-13T15:59:00.000Z,Outside,1430,100,Assault,2014,June,13,164,Friday    ,15,2014,June,13,164,Friday    ,13,Assault,D53,99,Mount Pleasant East (99),-79.3926697,43.7149849,51095
-79.3840866,43.7247581,51609,GO-2015436587,2015-03-03T16:00:00.000Z,2015-03-15T18:55:00.000Z,House,2120,200,B&E,2015,March,15,74,Sunday    ,18,2015,March,3,62,Tuesday   ,16,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3840866,43.7247581,51272
-79.3602753,43.7185898,51115,GO-20142886473,2014-09-06T23:01:00.000Z,2014-09-10T06:40:00.000Z,Outside,1430,100,Assault,2014,September,10,253,Wednesday ,6,2014,September,6,249,Saturday  ,23,Assault,D53,56,Leaside-Bennington (56),-79.3602753,43.7185898,51382
-79.3816147,43.7231483,51789,GO-2015758914,2015-05-07T11:40:00.000Z,2015-05-07T11:44:00.000Z,Commercial,1460,100,Assault Peace Officer,2015,May,7,127,Thursday  ,11,2015,May,7,127,Thursday  ,11,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3816147,43.7231483,51848
-79.370353699999981,43.7143135,51795,GO-20143059126,2014-09-02T10:00:00.000Z,2014-10-07T11:21:00.000Z,Other,1430,100,Assault,2014,October,7,280,Tuesday   ,11,2014,September,2,245,Tuesday   ,10,Assault,D53,56,Leaside-Bennington (56),-79.3703537,43.7143135,51854
-79.370353699999981,43.7143135,51796,GO-20143059126,2014-09-02T10:00:00.000Z,2014-10-07T11:21:00.000Z,Other,1430,100,Assault,2014,October,7,280,Tuesday   ,11,2014,September,2,245,Tuesday   ,10,Assault,D53,56,Leaside-Bennington (56),-79.3703537,43.7143135,51855
-79.370353699999981,43.7143135,51797,GO-20143059126,2014-09-02T10:00:00.000Z,2014-10-07T11:21:00.000Z,Other,1430,100,Assault,2014,October,7,280,Tuesday   ,11,2014,September,2,245,Tuesday   ,10,Assault,D53,56,Leaside-Bennington (56),-79.3703537,43.7143135,51856
-79.375656100000015,43.7172012,64346,GO-2016171308,2015-12-01T12:00:00.000Z,2016-01-29T12:21:00.000Z,Apartment,2130,210,Theft Over,2016,January,29,29,Friday    ,12,2015,December,1,335,Tuesday   ,12,Theft Over,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3756561,43.7172012,64299
-79.4002304,43.7154579,64929,GO-20161127458,2016-06-28T00:26:00.000Z,2016-06-28T01:14:00.000Z,Apartment,1430,100,Assault,2016,June,28,180,Tuesday   ,1,2016,June,28,180,Tuesday   ,0,Assault,D53,103,Lawrence Park South (103),-79.4002304,43.7154579,64401
-79.4015961,43.7219734,64034,GO-20152152696,2015-12-15T23:30:00.000Z,2015-12-16T06:58:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,December,16,350,Wednesday ,6,2015,December,15,349,Tuesday   ,23,Auto Theft,D53,103,Lawrence Park South (103),-79.4015961,43.7219734,64497
